id,userType,userId,feedbackText,category,priority,rating,date,timestamp,status,page,uxPrinciple,comparison,feature,type
SUPPLIER_2389,supplier,user_supplier_2389,أريد فلترة الطلبات حسب: الميزانية، الموقع، نوع الخدمة، تاريخ النشر,مقارنة مع المنصات المنافسة,medium,3,2025-01-13,2025-01-13T00:00:00,resolved,my-offers,,اعتماد,,
SUPPLIER_2087,supplier,user_supplier_2087,الإحصائيات ثابتة - أريد تحديث فوري أو refresh button,تجربة المستخدم - لوحة التحكم,medium,3,2025-01-01,2025-01-01T00:00:00,reviewed,my-offers,Dashboard,,,
SUPPLIER_0586,supplier,user_supplier_0586,لا أعرف ترتيبي بين الموردين الآخرين - أريد ranking واضح,تجربة المستخدم - وضوح الحالة,low,4,2025-01-21,2025-01-21T00:00:00,resolved,earnings,Visibility of System Status,,,
ADMIN_2009,admin,user_admin_2009,لا يمكنني تصدير الجداول إلى Excel - أريد export button,تجربة المستخدم - الجداول,medium,3,2025-01-15,2025-01-15T00:00:00,resolved,projects,Table UX,,,
SUPPLIER_0064,supplier,user_supplier_0064,في منصات أخرى يمكنني البحث في الطلبات بكلمات مفتاحية - هنا البحث بسيط,مقارنة مع المنصات المنافسة,medium,3,2025-01-16,2025-01-16T00:00:00,reviewed,my-offers,,منصات عامة,,
ADMIN_0212,admin,user_admin_0212,جداول المستخدمين طويلة ولا يمكنني البحث بسرعة - أريد search box في كل جدول,تجربة المستخدم - الجداول,high,2,2025-01-10,2025-01-10T00:00:00,reviewed,requests,Table UX,,,
ADMIN_1078,admin,user_admin_1078,لا يمكنني ترتيب الأعمدة بالـ drag and drop,تجربة المستخدم - الجداول,low,4,2025-01-03,2025-01-03T00:00:00,reviewed,verification,Table UX,,,
SUPPLIER_0032,supplier,user_supplier_0032,حقل الوصف طويل ولا أعرف إذا كان كافياً - أريد أمثلة أو templates,تجربة المستخدم - النماذج,low,4,2025-01-16,2025-01-16T00:00:00,in_progress,portfolio,Form UX,,,
ADMIN_0373,admin,user_admin_0373,لا يمكنني اختيار عدة مستخدمين دفعة واحدة - أريد bulk actions,ميزات مفقودة,high,2,2025-01-03,2025-01-03T00:00:00,in_progress,projects,,,Bulk Actions,
SUPPLIER_0289,supplier,user_supplier_0289,عندما لا توجد طلبات مناسبة، الصفحة فارغة - أريد suggestions,تجربة المستخدم - الحالات الفارغة,low,4,2025-01-10,2025-01-10T00:00:00,reviewed,my-offers,Empty States,,,
